03:20:20.5140416	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-21-00
03:20:20.5385468	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-00-1E-80-21-00
03:20:20.5385468	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-00-3C-80-3F-00
03:20:20.5385468	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-00-3C-80-3F-00
03:20:20.5385468	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-00-1E-80-21-00
03:20:20.5704053	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-21-00
03:20:20.6158053	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-21-80
03:20:21.2182796	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-30-FF-F0
03:20:21.2182796	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-03
03:20:21.2182796	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-30-FF-F0
03:20:21.2192801	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-03
03:20:22.3776700	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-04-02-0A-3D
03:20:22.3776700	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-04-03-82-8E
03:20:22.3776700	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-04-02-0A-3D
03:20:22.3776700	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-04-03-82-8E
03:20:26.6673631	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:20:26.6871350	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:20:31.5977394	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3B-00-EF
03:20:31.5977394	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3B-00-EF
03:20:32.3983686	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:20:32.3977664	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:20:35.6313765	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:20:35.6497123	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:20:41.6991889	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:20:41.7659463	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
