03:32:14.9437331	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-30-FF-EF
03:32:14.9457145	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-0F
03:32:20.8081806	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-40-00-E2
03:32:23.8465499	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-05-1E
03:32:23.8465499	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:32:25.4335427	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:32:25.4521917	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:32:34.9092688	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-40-00-E3
03:32:40.4658010	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:32:40.4829466	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:32:42.8382534	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-CA
03:32:49.0216474	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-40-00-E2
03:32:55.4677778	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:32:55.5856625	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:32:56.9362986	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-C9
03:33:09.4018577	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-26-00-00-00-22-34-00-04-07-4A-00-6F-00-73-00-65-00-66-00-20-00-2F-00-20-00-4A-00-6F-00-73-00-65-00-66-00-61-00-0D-00
03:33:09.4018577	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-28-00-00-00-24-34-00-03-07-30-00-33-00-3A-00-33-00-33-00-20-00-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:33:09.4018577	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-1C-00-00-00-18-34-00-01-07-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:33:09.4212652	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-10
03:33:09.4212652	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
03:33:10.4675772	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:33:10.6111549	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:33:13.9478431	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-07-AE
03:33:13.9811950	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:33:23.9685346	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-05-1E
03:33:23.9801134	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:33:25.4681955	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:33:25.4856034	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:33:40.5002033	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:33:40.5227791	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:33:45.3445601	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-40-00-E3
03:33:55.5264777	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:33:55.5431514	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:33:59.4394523	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-40-00-E2
03:34:10.3010088	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-26-00-00-00-22-34-00-04-07-4A-00-6F-00-73-00-65-00-66-00-20-00-2F-00-20-00-4A-00-6F-00-73-00-65-00-66-00-61-00-0D-00
03:34:10.3020084	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-28-00-00-00-24-34-00-03-07-30-00-33-00-3A-00-33-00-34-00-20-00-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:34:10.3020084	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-1C-00-00-00-18-34-00-01-07-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:34:10.3020084	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-11
03:34:10.3112292	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
03:34:10.5343696	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:34:10.5631961	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:34:14.0702464	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-07-AE
03:34:14.0705347	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:34:24.0889944	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-05-1E
03:34:24.0909864	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:34:25.5563925	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:34:25.5734882	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:34:40.5681459	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:34:40.5887755	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:34:47.3910397	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-30-FF-EE
03:34:47.3940444	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-10
03:34:54.3159596	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-11
03:34:54.3159596	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-30-FF-EF
03:34:55.5671715	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:34:55.5890799	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:35:10.6007359	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:35:10.6230825	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:35:11.3086565	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-26-00-00-00-22-34-00-04-07-4A-00-6F-00-73-00-65-00-66-00-20-00-2F-00-20-00-4A-00-6F-00-73-00-65-00-66-00-61-00-0D-00
03:35:11.3086565	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-28-00-00-00-24-34-00-03-07-30-00-33-00-3A-00-33-00-35-00-20-00-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:35:11.3086565	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-1C-00-00-00-18-34-00-01-07-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:35:11.3116532	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-12
03:35:11.3128926	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
03:35:14.1916474	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-07-AE
03:35:14.1916474	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:35:24.2136279	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:35:24.2136279	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-05-1E
03:35:25.6004865	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:35:25.6206209	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:35:33.5992135	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-3B-00-EE
03:35:40.6070987	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:35:40.6249492	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:35:42.8201428	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-30-FF-EE
03:35:42.8201428	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-11
03:35:45.9223797	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-CA
03:35:47.6948858	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-3B-00-EF
03:35:55.6343573	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:35:55.6555589	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:35:56.6805626	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-30-FF-EF
03:35:56.6805626	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-12
03:36:00.0290542	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-C9
03:36:07.0785022	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-45-00-DA
03:36:10.5421965	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-30-FF-EE
03:36:10.5421965	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-11
03:36:10.6668769	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:36:10.6876170	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:36:12.3148690	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-26-00-00-00-22-34-00-04-07-4A-00-6F-00-73-00-65-00-66-00-20-00-2F-00-20-00-4A-00-6F-00-73-00-65-00-66-00-61-00-0D-00
03:36:12.3158676	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-28-00-00-00-24-34-00-03-07-30-00-33-00-3A-00-33-00-36-00-20-00-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:36:12.3178507	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-1C-00-00-00-18-34-00-01-07-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:36:12.3188670	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-12
03:36:12.3290529	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
